row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L8-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99607372,0.00027229,0.00003643,0.00119049,0.00082787,0.00022643,0.00009698,0.00003219,0.00043625,0.00004410,0.00003904,0.00000561,0.00000096,0.00013320,0.00007407,0.00000370,0.00001445,0.00004137,0.00045090,0.00000000,0.00000000,0.00000000,0.00000000
L8-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99779570,0.00071572,0.00002338,0.00007393,0.00007615,0.00000076,0.00007908,0.00000023,0.00001629,0.00000322,0.00000022,0.00000083,0.00000001,0.00073554,0.00000973,0.00000328,0.00000213,0.00007919,0.00000467,0.00038005,0.00000000,0.00000000,0.00000000
L8-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99867344,0.00023844,0.00038818,0.00004461,0.00001572,0.00000414,0.00006995,0.00000024,0.00000018,0.00022350,0.00000007,0.00000074,0.00000251,0.00023506,0.00000022,0.00000030,0.00000084,0.00001495,0.00000665,0.00000020,0.00008004,0.00000000,0.00000000
L8-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99690151,0.00009445,0.00003449,0.00068280,0.00012748,0.00001258,0.00003214,0.00000442,0.00004359,0.00006377,0.00000485,0.00000237,0.00037608,0.00018948,0.00000687,0.00001038,0.00002074,0.00051179,0.00084651,0.00002387,0.00000070,0.00000926,0.00000000
"L8-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67991424,0.00037200,0.00098535,0.00002876,0.00138171,0.30553961,0.00332064,0.00018486,0.00022549,0.00001000,0.00000219,0.00000379,0.00011020,0.00051838,0.00001987,0.00001179,0.00016070,0.00050061,0.00657211,0.00006897,0.00000095,0.00000416,0.00006359
L8-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93387172,0.00033858,0.00029357,0.00040412,0.00048579,0.06115670,0.00071976,0.00004439,0.00014436,0.00006892,0.00000927,0.00000267,0.00009795,0.00036233,0.00002215,0.00000589,0.00003977,0.00022958,0.00157617,0.00009462,0.00001634,0.00000268,0.00001272
L11-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96562392,0.00084372,0.00005068,0.00293049,0.00462941,0.00088379,0.00053789,0.00022384,0.01285293,0.00193401,0.00491146,0.00172541,0.00041855,0.00041251,0.00074570,0.00016947,0.00004613,0.00047202,0.00058805,0.00000000,0.00000000,0.00000000,0.00000000
L11-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99687296,0.00070975,0.00012291,0.00023287,0.00021863,0.00002802,0.00016752,0.00000699,0.00001636,0.00006626,0.00001050,0.00026732,0.00002046,0.00009477,0.00047211,0.00008481,0.00000553,0.00003930,0.00002243,0.00054045,0.00000000,0.00000000,0.00000000
L11-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99834490,0.00030194,0.00038319,0.00014580,0.00002160,0.00000177,0.00004249,0.00000076,0.00000011,0.00003317,0.00000032,0.00002704,0.00001987,0.00000855,0.00012420,0.00001316,0.00000509,0.00001456,0.00001402,0.00000307,0.00049428,0.00000000,0.00000000
L11-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98952055,0.00043763,0.00002804,0.00354069,0.00082995,0.00003590,0.00011285,0.00007203,0.00003926,0.00047298,0.00014256,0.00011946,0.00066252,0.00007721,0.00004654,0.00003404,0.00009418,0.00029675,0.00029819,0.00052600,0.00041457,0.00219798,0.00000000
"L11-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93684095,0.00171543,0.00052649,0.00052850,0.00848796,0.04194325,0.00582517,0.00028330,0.00151054,0.00007881,0.00002465,0.00012588,0.00002745,0.00013507,0.00023530,0.00006755,0.00002645,0.00052521,0.00038454,0.00012640,0.00021996,0.00009426,0.00026690
L11-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97744066,0.00080169,0.00022226,0.00147567,0.00283751,0.00857855,0.00133718,0.00011738,0.00288384,0.00051705,0.00101790,0.00045302,0.00022977,0.00014562,0.00032477,0.00007381,0.00003548,0.00026957,0.00026145,0.00023918,0.00022576,0.00045845,0.00005338
L13-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95373285,0.00393818,0.00346053,0.00637609,0.00327059,0.00937851,0.00115820,0.00014696,0.00026039,0.00033950,0.00078739,0.00011780,0.00026371,0.00037464,0.00011990,0.00012363,0.00068338,0.00581865,0.00964918,0.00000000,0.00000000,0.00000000,0.00000000
L13-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94538081,0.00381125,0.02327952,0.00646408,0.00092848,0.00258962,0.00480821,0.00004574,0.00021448,0.00025526,0.00034452,0.00060195,0.00023235,0.00040337,0.00100698,0.00008654,0.00063279,0.00054846,0.00629801,0.00206760,0.00000000,0.00000000,0.00000000
L13-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94986463,0.00303927,0.00810628,0.01360438,0.00168622,0.00161221,0.00481883,0.00010131,0.00019903,0.00046714,0.00075119,0.00316345,0.00072687,0.00023317,0.00015465,0.00005647,0.00098332,0.00237361,0.00275363,0.00033569,0.00496857,0.00000000,0.00000000
L13-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95694256,0.00536683,0.00250162,0.00865695,0.00275599,0.00525853,0.00225647,0.00024303,0.00054970,0.00110122,0.00174522,0.00023555,0.00037913,0.00040775,0.00028651,0.00012976,0.00066596,0.00440860,0.00260357,0.00125320,0.00006780,0.00218402,0.00000000
"L13-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72408301,0.01168179,0.00869333,0.00885716,0.00945120,0.08528207,0.02473040,0.01274839,0.00637382,0.00175775,0.00528912,0.00193231,0.00259130,0.00133559,0.00106512,0.00057076,0.00292262,0.05230116,0.00977060,0.01892226,0.00045412,0.00168005,0.00750601
L13-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.90600077,0.00556746,0.00920826,0.00879173,0.00361849,0.02082419,0.00755442,0.00265709,0.00151948,0.00078417,0.00178349,0.00121021,0.00083867,0.00055090,0.00052663,0.00019343,0.00117761,0.01309010,0.00621500,0.00451575,0.00109810,0.00077282,0.00150120
L14-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.46827400,0.00413912,0.00599761,0.02047191,0.02384888,0.06636763,0.04001180,0.07569896,0.07216108,0.02412692,0.03521451,0.02094215,0.03693559,0.02570391,0.01158991,0.02954252,0.02986972,0.00525722,0.00384663,0.00000000,0.00000000,0.00000000,0.00000000
L14-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.56431103,0.00869578,0.01856259,0.02506634,0.02926653,0.02706349,0.02986699,0.02231709,0.02869467,0.01854066,0.01490370,0.07479197,0.03708557,0.02008010,0.02366609,0.03578468,0.01323524,0.00462590,0.00219783,0.00124366,0.00000000,0.00000000,0.00000000
L14-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54749250,0.00730190,0.01444192,0.02323708,0.02299840,0.00682909,0.00713507,0.00475352,0.01108194,0.02676290,0.01822733,0.14067462,0.04796445,0.01816272,0.01046522,0.02939554,0.04080704,0.01318170,0.00569295,0.00061972,0.00277442,0.00000000,0.00000000
L14-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.86906099,0.00278491,0.00466044,0.00952242,0.00873873,0.02173131,0.00761152,0.00920912,0.00439231,0.00205709,0.00741727,0.00156990,0.00366187,0.00352642,0.00310139,0.00284128,0.00853965,0.00417359,0.00198761,0.00296587,0.00135627,0.01908996,0.00000000
"L14-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08343130,0.00542701,0.00872429,0.03514083,0.10593778,0.16985478,0.06849397,0.24647509,0.06511635,0.03832328,0.01979362,0.02033295,0.04363598,0.01152928,0.00411507,0.00965882,0.03649041,0.00980461,0.00439830,0.00445113,0.00246866,0.00399185,0.00240456
L14-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50651396,0.00566974,0.01047737,0.02268772,0.03815806,0.05836926,0.03062387,0.07169076,0.03628927,0.02196217,0.01911129,0.05166232,0.03385669,0.01580049,0.01058754,0.02144457,0.02578841,0.00740860,0.00362466,0.00185608,0.00131987,0.00461636,0.00048091
