row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:mo,15:ore,16:had,17:no,18:immediate,19:comment,20:t,21:ues,22:day,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L6-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98841447,0.00066381,0.00046453,0.00252830,0.00115786,0.00158199,0.00021553,0.00082819,0.00007075,0.00004122,0.00042937,0.00024993,0.00002606,0.00057573,0.00013503,0.00019787,0.00241939,0.00000000,0.00000000,0.00000000,0.00000000
L6-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99168146,0.00215758,0.00039960,0.00125646,0.00041583,0.00011321,0.00030681,0.00001095,0.00004240,0.00006322,0.00068707,0.00001100,0.00015419,0.00025490,0.00006013,0.00034900,0.00006090,0.00197532,0.00000000,0.00000000,0.00000000
L6-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98814648,0.00095614,0.00344198,0.00063608,0.00038445,0.00023241,0.00032775,0.00001196,0.00008815,0.00179049,0.00117258,0.00001281,0.00009756,0.00032626,0.00036176,0.00068343,0.00017532,0.00000217,0.00115218,0.00000000,0.00000000
L6-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97313327,0.00061451,0.00062403,0.00983458,0.00088494,0.00068033,0.00009545,0.00069749,0.00005338,0.00003402,0.00025403,0.00120958,0.00010939,0.00036630,0.00178104,0.00303025,0.00376941,0.00023114,0.00002490,0.00257192,0.00000000
"L6-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88908601,0.00152221,0.00083538,0.00013678,0.00346094,0.07660913,0.00080060,0.00130550,0.00003023,0.00005048,0.00004124,0.00007063,0.00001163,0.00009053,0.00012879,0.00026198,0.02242075,0.00041753,0.00000308,0.00001751,0.00269906
L6-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96609234,0.00118285,0.00115310,0.00287844,0.00126080,0.01584341,0.00034923,0.00057082,0.00005698,0.00039588,0.00051686,0.00031079,0.00007976,0.00032274,0.00049335,0.00090451,0.00576916,0.00052523,0.00023603,0.00051789,0.00053981
L7-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99308097,0.00052838,0.00018902,0.00191354,0.00061516,0.00139584,0.00022108,0.00021454,0.00010431,0.00002955,0.00019137,0.00040386,0.00000621,0.00003955,0.00011769,0.00021605,0.00073291,0.00000000,0.00000000,0.00000000,0.00000000
L7-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99356377,0.00160979,0.00028942,0.00060896,0.00016644,0.00029064,0.00027549,0.00000591,0.00004389,0.00012652,0.00028437,0.00004571,0.00001977,0.00002911,0.00002706,0.00039626,0.00009317,0.00212372,0.00000000,0.00000000,0.00000000
L7-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98818773,0.00214437,0.00083304,0.00061869,0.00015020,0.00017510,0.00034214,0.00000529,0.00001915,0.00205979,0.00093914,0.00004812,0.00006768,0.00008494,0.00014875,0.00059926,0.00006217,0.00001040,0.00350412,0.00000000,0.00000000
L7-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98818135,0.00089772,0.00026013,0.00259078,0.00074689,0.00146205,0.00164662,0.00030269,0.00009401,0.00033267,0.00016079,0.00008922,0.00001009,0.00002752,0.00015439,0.00089040,0.00056716,0.00003786,0.00001905,0.00152869,0.00000000
"L7-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92579854,0.00143860,0.00065888,0.00059222,0.00543734,0.05775663,0.00203541,0.00053527,0.00048279,0.00027520,0.00004817,0.00009691,0.00001615,0.00002123,0.00023390,0.00129060,0.00274956,0.00012757,0.00000895,0.00001097,0.00038500
L7-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97776247,0.00132377,0.00044610,0.00126484,0.00142321,0.01221605,0.00090415,0.00021274,0.00014883,0.00056475,0.00032477,0.00013676,0.00002398,0.00004047,0.00013636,0.00067851,0.00084099,0.00045991,0.00070642,0.00030793,0.00007700
