row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:dru,15:ce,16:will,17:face,18:murder,19:charges,"20:,",21:conte,22:said,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L16-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95188218,0.00350793,0.00042432,0.01364697,0.00962128,0.00205002,0.00010788,0.00003580,0.00009058,0.00105452,0.00019600,0.00086482,0.00027844,0.00004986,0.00061775,0.00069782,0.00476088,0.00410698,0.00303344,0.00297244,0.00000000
"L16-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89002800,0.00315666,0.00017730,0.00060658,0.01478212,0.05868691,0.00383527,0.00027004,0.00072275,0.00209449,0.00071126,0.00283570,0.00612831,0.00016588,0.00060116,0.00814543,0.00191421,0.00059844,0.00075292,0.00015411,0.00363246
L16-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.93509508,0.00392072,0.00202968,0.00805910,0.01753742,0.01629194,0.00138486,0.00023061,0.00041772,0.00204815,0.00033737,0.00119503,0.00157484,0.00012500,0.00048659,0.00191271,0.00259448,0.00249102,0.00091587,0.00062531,0.00072649
L17-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.54023874,0.01404965,0.01226166,0.03025980,0.02681672,0.02346717,0.08054134,0.05564034,0.02684457,0.05565010,0.02100023,0.01604341,0.01161612,0.02526199,0.02153730,0.02094940,0.01782154,0.00000000,0.00000000,0.00000000,0.00000000
L17-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.62552035,0.01094979,0.02344144,0.02328557,0.02021975,0.01220092,0.01079000,0.01115937,0.02392296,0.03447963,0.03146077,0.01358180,0.00698115,0.05647411,0.02630113,0.02428691,0.02524196,0.01970252,0.00000000,0.00000000,0.00000000
L17-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.67454398,0.00879522,0.03412861,0.06444767,0.04735241,0.00637109,0.00408994,0.00541222,0.02280353,0.00630092,0.01089273,0.00663084,0.00320064,0.00787972,0.01729678,0.03652758,0.02543849,0.00984902,0.00803868,0.00000000,0.00000000
L17-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66665530,0.01369732,0.01972780,0.02036657,0.01809568,0.01596848,0.01264970,0.01863377,0.01743948,0.02078233,0.01868654,0.01002334,0.00344878,0.01541780,0.01533865,0.02032902,0.01922917,0.01029888,0.00353226,0.05967916,0.00000000
"L17-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48357320,0.00618048,0.00343769,0.00948763,0.01606643,0.04424077,0.06855127,0.04360830,0.03657671,0.08833831,0.03307533,0.01565371,0.01173468,0.03652556,0.02079941,0.01340080,0.00580632,0.00198346,0.00242403,0.00710703,0.05142889
L17-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59810631,0.01073449,0.01859944,0.02956945,0.02571020,0.02044969,0.03532445,0.02689080,0.02551745,0.04111026,0.02302312,0.01238662,0.00739627,0.02831184,0.02025465,0.02309874,0.01870749,0.00836678,0.00279899,0.01335724,0.01028578
L18-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59755009,0.02373462,0.00307727,0.01296637,0.02796577,0.08598947,0.07236416,0.03865483,0.02848595,0.02811365,0.00990034,0.01369337,0.00984181,0.00664020,0.01856350,0.01495705,0.00750151,0.00000000,0.00000000,0.00000000,0.00000000
